epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
112,1029.74,0.88102,1.42703,0.58511,1.10789,0,0.97421,0.98454,0.9835,0.78805,0.97421,0.98454,0.98689,0.70436,0.87062,1.29763,0.41879,1.12169,0,0.0005348,0.0005348,0.0005348
113,1038.89,0.86975,1.40971,0.56669,1.0891,0,0.97857,0.98969,0.98831,0.81397,0.98366,0.99485,0.99417,0.73439,0.84813,1.2331,0.42853,1.10387,0,0.0005216,0.0005216,0.0005216
114,1047.89,0.89146,1.41543,0.57773,1.08942,0,0.97462,0.98969,0.98368,0.81512,0.9797,0.99485,0.99068,0.71524,0.81357,1.24255,0.41973,1.07163,0,0.0005084,0.0005084,0.0005084
115,1056.91,0.89624,1.37651,0.58299,1.10273,0,0.96148,0.98454,0.98863,0.81696,0.96794,0.98969,0.991,0.73484,0.7779,1.25601,0.40438,1.05619,0,0.0004952,0.0004952,0.0004952
116,1066.03,0.87603,1.39556,0.56826,1.0739,0,0.98918,0.98969,0.98833,0.81352,0.99433,0.99485,0.99299,0.72267,0.79658,1.21174,0.38358,1.0502,0,0.000482,0.000482,0.000482
117,1075.07,0.86161,1.42981,0.56023,1.08051,0,0.97625,0.97423,0.97724,0.79025,0.98768,0.98454,0.99044,0.68489,0.79614,1.29086,0.37774,1.05247,0,0.0004688,0.0004688,0.0004688
118,1083.97,0.88369,1.4306,0.58107,1.10785,0,0.96638,0.98454,0.98266,0.81483,0.97144,0.98969,0.98972,0.72976,0.77375,1.23318,0.39598,1.05987,0,0.0004556,0.0004556,0.0004556
119,1092.95,0.87159,1.38139,0.5501,1.09076,0,0.96859,0.98454,0.98313,0.80193,0.97366,0.98969,0.98985,0.72199,0.76533,1.22827,0.38592,1.05043,0,0.0004424,0.0004424,0.0004424
120,1101.95,0.84115,1.35358,0.54426,1.07323,0,0.97428,0.97938,0.98223,0.81045,0.9794,0.98454,0.98984,0.73049,0.7656,1.22519,0.40139,1.04943,0,0.0004292,0.0004292,0.0004292
121,1110.86,0.88635,1.41203,0.56782,1.08745,0,0.98361,0.98969,0.99089,0.81593,0.98361,0.98969,0.99089,0.72923,0.76081,1.20033,0.35109,1.03895,0,0.000416,0.000416,0.000416
122,1119.76,0.85394,1.36769,0.55397,1.07593,0,0.98334,0.98454,0.98493,0.78443,0.98849,0.98969,0.9899,0.70525,0.84017,1.27153,0.37732,1.08026,0,0.0004028,0.0004028,0.0004028
123,1128.75,0.85852,1.38631,0.56122,1.08893,0,0.98469,0.99454,0.99242,0.82052,0.98732,0.99485,0.99432,0.74215,0.75554,1.20258,0.35795,1.04446,0,0.0003896,0.0003896,0.0003896
124,1137.74,0.85812,1.3824,0.55954,1.08177,0,0.97452,0.98569,0.98525,0.80141,0.97962,0.99085,0.99187,0.71713,0.79056,1.25442,0.39054,1.0732,0,0.0003764,0.0003764,0.0003764
125,1146.68,0.88128,1.41353,0.56923,1.08657,0,0.97941,0.98454,0.98232,0.81482,0.98454,0.98969,0.99064,0.73834,0.75286,1.18891,0.35439,1.05381,0,0.0003632,0.0003632,0.0003632
126,1155.64,0.84704,1.31852,0.5173,1.07178,0,0.98393,0.98969,0.99272,0.81487,0.98393,0.98969,0.99272,0.73034,0.7712,1.24555,0.33309,1.06138,0,0.00035,0.00035,0.00035
127,1164.68,0.86106,1.4059,0.54779,1.0881,0,0.98974,0.99485,0.99417,0.82199,0.98974,0.99485,0.99417,0.7424,0.74279,1.22655,0.33899,1.04143,0,0.0003368,0.0003368,0.0003368
128,1173.69,0.84433,1.35505,0.5535,1.06993,0,0.98974,0.99485,0.99396,0.83554,0.98974,0.99485,0.99396,0.74519,0.71281,1.18014,0.314,1.01908,0,0.0003236,0.0003236,0.0003236
129,1182.69,0.84457,1.32588,0.54099,1.07555,0,0.993,0.99485,0.99345,0.82882,0.993,0.99485,0.99345,0.73089,0.73947,1.23421,0.32526,1.02388,0,0.0003104,0.0003104,0.0003104
130,1191.68,0.84048,1.35221,0.54247,1.07164,0,0.98594,0.99485,0.9918,0.82798,0.98594,0.99485,0.99217,0.73902,0.74242,1.22127,0.34238,1.03344,0,0.0002972,0.0002972,0.0002972
131,1212.01,0.87311,1.29979,0.52474,1.08982,0,0.98969,0.98969,0.9905,0.82903,0.99485,0.99485,0.99268,0.72876,0.78136,1.20286,0.37776,1.04693,0,0.000284,0.000284,0.000284
132,1220.81,0.86101,1.28535,0.4867,1.10635,0,0.99484,0.99384,0.99325,0.8384,0.99484,0.99384,0.99325,0.74478,0.72124,1.17775,0.34665,1.02643,0,0.0002708,0.0002708,0.0002708
133,1229.6,0.84206,1.25311,0.4647,1.08575,0,0.99319,0.98969,0.99196,0.83433,0.99319,0.98969,0.99196,0.74164,0.7384,1.18542,0.33843,1.03172,0,0.0002576,0.0002576,0.0002576
134,1238.17,0.83637,1.25493,0.45589,1.07929,0,0.98538,0.98969,0.99459,0.8304,0.98538,0.98969,0.99459,0.75163,0.76105,1.18898,0.34974,1.04421,0,0.0002444,0.0002444,0.0002444
135,1246.94,0.82626,1.24637,0.45577,1.06951,0,0.99484,0.99375,0.99495,0.83344,0.99484,0.99375,0.99495,0.75177,0.79409,1.18226,0.3595,1.06494,0,0.0002312,0.0002312,0.0002312
136,1255.67,0.82553,1.20588,0.44973,1.07774,0,0.99484,0.99422,0.99309,0.83386,0.99484,0.99422,0.99309,0.75191,0.74175,1.14989,0.34088,1.0325,0,0.000218,0.000218,0.000218
137,1264.52,0.81582,1.245,0.43716,1.04999,0,0.99484,0.99348,0.99351,0.83617,0.99484,0.99348,0.99351,0.75602,0.71781,1.13544,0.33405,1.01769,0,0.0002048,0.0002048,0.0002048
138,1273.16,0.8039,1.22965,0.43148,1.05333,0,0.98871,0.99485,0.99282,0.8401,0.98871,0.99485,0.99282,0.75752,0.74131,1.15687,0.34501,1.0381,0,0.0001916,0.0001916,0.0001916
139,1281.89,0.80747,1.20571,0.43948,1.05401,0,0.98973,0.99351,0.99286,0.83729,0.98973,0.99351,0.99378,0.75159,0.73252,1.1595,0.32922,1.03152,0,0.0001784,0.0001784,0.0001784
140,1290.64,0.80376,1.22908,0.43054,1.05785,0,0.98592,0.98969,0.99282,0.84506,0.98592,0.98969,0.99375,0.75827,0.69861,1.14513,0.32432,1.01621,0,0.0001652,0.0001652,0.0001652
141,1299.35,0.77897,1.20277,0.42615,1.05257,0,0.99308,0.99485,0.9949,0.84126,0.99308,0.99485,0.9949,0.76213,0.72795,1.15877,0.31781,1.03028,0,0.000152,0.000152,0.000152
142,1308.05,0.77968,1.16937,0.40816,1.04552,0,0.98974,0.99413,0.99351,0.84756,0.98974,0.99413,0.99362,0.76694,0.71286,1.13556,0.30589,1.01899,0,0.0001388,0.0001388,0.0001388
143,1316.84,0.78369,1.20175,0.41089,1.04119,0,0.9934,0.99485,0.99351,0.84187,0.9934,0.99485,0.99351,0.7654,0.7003,1.12406,0.30895,1.00905,0,0.0001256,0.0001256,0.0001256
144,1325.6,0.79642,1.21395,0.41888,1.05642,0,0.99192,0.98969,0.99191,0.83745,0.99192,0.98969,0.99191,0.75738,0.72808,1.14486,0.32971,1.0316,0,0.0001124,0.0001124,0.0001124
145,1334.25,0.7726,1.19275,0.41411,1.03876,0,0.98973,0.9935,0.99307,0.84727,0.98973,0.9935,0.99307,0.76349,0.69679,1.14069,0.32965,1.01124,0,9.92e-05,9.92e-05,9.92e-05
146,1342.9,0.77045,1.18886,0.39922,1.04058,0,0.98923,0.99485,0.99315,0.84954,0.98923,0.99485,0.99389,0.76661,0.68685,1.12374,0.32064,1.00428,0,8.6e-05,8.6e-05,8.6e-05
147,1351.78,0.78516,1.17093,0.40195,1.04099,0,0.98974,0.99485,0.99418,0.85252,0.98974,0.99485,0.99418,0.77055,0.69092,1.12205,0.31868,1.00475,0,7.28e-05,7.28e-05,7.28e-05
148,1360.63,0.7817,1.18454,0.4085,1.04018,0,0.98974,0.99485,0.9934,0.85198,0.98974,0.99485,0.9934,0.7712,0.69248,1.12316,0.31505,1.00415,0,5.96e-05,5.96e-05,5.96e-05
149,1369.36,0.7809,1.18645,0.41409,1.04346,0,0.99485,0.99485,0.9934,0.85156,0.99485,0.99485,0.9934,0.76634,0.68251,1.12003,0.31571,0.99606,0,4.64e-05,4.64e-05,4.64e-05
150,1377.92,0.75656,1.16876,0.39408,1.03516,0,0.99487,1,0.99326,0.85079,0.99487,1,0.99326,0.76249,0.68387,1.11781,0.31316,0.99743,0,3.32e-05,3.32e-05,3.32e-05
